match,teams,score,ht_score,date,formations,players
38308,"['Arsenal', 'Man City']","['0', '2']","['0', '1']",Sun 12 Aug 2018,"['4-2-3-1', '4-2-3-1']","[['Petr Cech', 'Goalkeeper', '2651'], ['Shkodran Mustafi', 'Defender', '3869'], ['Héctor Bellerín', 'Defender', '4474'], ['Ainsley Maitland-Niles', 'Defender', '10428'], ['Sokratis Papastathopoulos', 'Defender', '5093'], ['Aaron Ramsey', 'Midfielder', '3548'], ['Henrikh Mkhitaryan', 'Midfielder', '5102'], ['Mesut Özil', 'Midfielder', '4714'], ['Granit Xhaka', 'Midfielder', '12136'], ['Mattéo Guendouzi', 'Midfielder', '50512'], ['Pierre-Emerick Aubameyang', 'Forward', '5110'], ['Ederson', 'Goalkeeper', '12707'], ['Aymeric Laporte', 'Defender', '11044'], ['Kyle Walker', 'Defender', '3955'], ['Benjamin Mendy', 'Defender', '5575'], ['John Stones', 'Defender', '4505'], ['Fernandinho', 'Midfielder', '4804'], ['Ilkay Gündogan', 'Midfielder', '5101'], ['Riyad Mahrez', 'Midfielder', '8983'], ['Bernardo Silva', 'Midfielder', '5067'], ['Raheem Sterling', 'Midfielder', '4316'], ['Sergio Agüero', 'Forward', '4328']]"
38309,"['Bournemouth', 'Cardiff']","['2', '0']","['1', '0']",Sat 11 Aug 2018,"['4-4-2', '4-1-4-1']","[['Asmir Begovic', 'Goalkeeper', '2537'], ['Steve Cook', 'Defender', '8045'], ['Adam Smith', 'Defender', '3512'], ['Nathan Aké', 'Defender', '4499'], ['Charlie Daniels', 'Defender', '3242'], ['Ryan Fraser', 'Midfielder', '8052'], ['Dan Gosling', 'Midfielder', '3390'], ['Andrew Surman', 'Midfielder', '2338'], ['David Brooks', 'Midfielder', '13706'], ['Callum Wilson', 'Forward', '8454'], ['Joshua King', 'Forward', '3926'], ['Neil Etheridge', 'Goalkeeper', '4120'], ['Lee Peltier', 'Defender', '3138'], ['Sean Morrison', 'Defender', '4577'], ['Bruno Ecuele Manga', 'Defender', '10633'], ['Joe Bennett', 'Defender', '3672'], ['Sol Bamba', 'Midfielder', '7500'], ['Joe Ralls', 'Midfielder', '10074'], ['Callum Paterson', 'Midfielder', '22046'], ['Nathaniel Méndez-Laing', 'Midfielder', '4006'], ['Junior Hoilett', 'Midfielder', '3823'], ['Bobby De Cordova-Reid', 'Forward', '8192']]"
38310,"['Fulham', 'Crystal Palace']","['0', '2']","['0', '1']",Sat 11 Aug 2018,"['4-3-3', '4-4-2']","[['Fabri', 'Goalkeeper', '19771'], ['Calum Chambers', 'Defender', '4620'], ['Cyrus Christie', 'Defender', '8438'], ['Joe Bryan', 'Defender', '8185'], ['Maxime Le Marchand', 'Defender', '20503'], ['Kevin McDonald', 'Midfielder', '3844'], ['Tom Cairney', 'Midfielder', '3894'], ['Jean Seri', 'Midfielder', '7013'], ['Aleksandar Mitrovic', 'Forward', '5879'], ['Ryan Sessegnon', 'Forward', '14656'], ['André Schürrle', 'Forward', '4750'], ['Wayne Hennessey', 'Goalkeeper', '2569'], ['James Tomkins', 'Defender', '3517'], ['Mamadou Sakho', 'Defender', '4796'], ['Aaron Wan-Bissaka', 'Defender', '14164'], ['Patrick van Aanholt', 'Defender', '3362'], ['James McArthur', 'Midfielder', '4224'], ['Jeffrey Schlupp', 'Midfielder', '8980'], ['Luka Milivojevic', 'Midfielder', '5859'], ['Andros Townsend', 'Midfielder', '3724'], ['Wilfried Zaha', 'Forward', '4539'], ['Christian Benteke', 'Forward', '4492']]"
38311,"['Huddersfield', 'Chelsea']","['0', '3']","['0', '2']",Sat 11 Aug 2018,"['3-5-1-1', '4-3-3']","[['Ben Hamer', 'Goalkeeper', '3183'], ['Christopher Schindler', 'Defender', '19607'], ['Zanka', 'Defender', '7103'], ['Terence Kongolo', 'Defender', '12359'], ['Jonathan Hogg', 'Midfielder', '3801'], ['Aaron Mooy', 'Midfielder', '19619'], ['Florent Hadërgjonaj', 'Midfielder', '12173'], ['Chris Löwe', 'Midfielder', '19608'], ['Philip Billing', 'Midfielder', '8882'], ['Alex Pritchard', 'Forward', '4433'], ['Steve Mounié', 'Forward', '22570'], ['Kepa', 'Goalkeeper', '11373'], ['Marcos Alonso', 'Defender', '4093'], ['César Azpilicueta', 'Defender', '4496'], ['Antonio Rüdiger', 'Defender', '16801'], ['David Luiz', 'Defender', '4100'], ['Jorginho', 'Midfielder', '5682'], [""N'Golo Kanté"", 'Midfielder', '13492'], ['Ross Barkley', 'Midfielder', '4115'], ['Álvaro Morata', 'Forward', '5804'], ['Willian', 'Forward', '4748'], ['Pedro', 'Forward', '4972']]"
38312,"['Liverpool', 'West Ham']","['4', '0']","['2', '0']",Sun 12 Aug 2018,"['4-3-3', '4-2-3-1']","[['Alisson Becker', 'Goalkeeper', '20559'], ['Virgil van Dijk', 'Defender', '5140'], ['Joe Gomez', 'Defender', '10651'], ['Trent Alexander-Arnold', 'Defender', '14732'], ['Andy Robertson', 'Defender', '10458'], ['Georginio Wijnaldum', 'Midfielder', '7114'], ['James Milner', 'Midfielder', '2100'], ['Naby Keïta', 'Midfielder', '12316'], ['Sadio Mané', 'Forward', '6519'], ['Roberto Firmino', 'Forward', '13511'], ['Mohamed Salah', 'Forward', '5178'], ['Lukasz Fabianski', 'Goalkeeper', '3309'], ['Arthur Masuaku', 'Defender', '11284'], ['Angelo Ogbonna', 'Defender', '5514'], ['Ryan Fredericks', 'Defender', '3958'], ['Fabián Balbuena', 'Defender', '32435'], ['Mark Noble', 'Midfielder', '3014'], ['Felipe Anderson', 'Midfielder', '6784'], ['Michail Antonio', 'Midfielder', '9595'], ['Jack Wilshere', 'Midfielder', '3547'], ['Declan Rice', 'Midfielder', '15202'], ['Marko Arnautovic', 'Forward', '4823']]"
38313,"['Man Utd', 'Leicester']","['2', '1']","['1', '0']",Fri 10 Aug 2018,"['4-3-3', '4-2-3-1']","[['David de Gea', 'Goalkeeper', '4330'], ['Luke Shaw', 'Defender', '4608'], ['Matteo Darmian', 'Defender', '12854'], ['Victor Lindelöf', 'Defender', '5066'], ['Eric Bailly', 'Defender', '12937'], ['Fred', 'Midfielder', '5906'], ['Andreas Pereira', 'Midfielder', '10476'], ['Paul Pogba', 'Midfielder', '3920'], ['Juan Mata', 'Forward', '4287'], ['Alexis Sánchez', 'Forward', '4973'], ['Marcus Rashford', 'Forward', '13565'], ['Kasper Schmeichel', 'Goalkeeper', '2508'], ['Daniel Amartey', 'Defender', '12306'], ['Ben Chilwell', 'Defender', '13491'], ['Harry Maguire', 'Defender', '9566'], ['Wes Morgan', 'Defender', '8966'], ['Demarai Gray', 'Midfielder', '7946'], ['Ricardo Pereira', 'Midfielder', '5343'], ['James Maddison', 'Midfielder', '8456'], ['Adrien Silva', 'Midfielder', '11357'], ['Wilfred Ndidi', 'Midfielder', '20479'], ['Kelechi Iheanacho', 'Forward', '13554']]"
38314,"['Newcastle', 'Spurs']","['1', '2']","['1', '2']",Sat 11 Aug 2018,"['4-4-1-1', '4-3-2-1']","[['Martin Dúbravka', 'Goalkeeper', '6451'], ['Ciaran Clark', 'Defender', '3562'], ['Jamaal Lascelles', 'Defender', '9257'], ['Paul Dummett', 'Defender', '4340'], ['DeAndre Yedlin', 'Defender', '10522'], ['Jonjo Shelvey', 'Midfielder', '4135'], ['Matt Ritchie', 'Midfielder', '3934'], ['Kenedy', 'Midfielder', '13285'], ['Mohamed Diamé', 'Midfielder', '3982'], ['Joselu', 'Forward', '6425'], ['Ayoze Pérez', 'Forward', '10487'], ['Hugo Lloris', 'Goalkeeper', '4664'], ['Jan Vertonghen', 'Defender', '4666'], ['Sèrge Aurier', 'Defender', '11293'], ['Davinson Sánchez', 'Defender', '20224'], ['Ben Davies', 'Defender', '4408'], ['Eric Dier', 'Midfielder', '4112'], ['Christian Eriksen', 'Midfielder', '4845'], ['Moussa Sissoko', 'Midfielder', '4549'], ['Dele Alli', 'Midfielder', '9167'], ['Lucas Moura', 'Midfielder', '5762'], ['Harry Kane', 'Forward', '3960']]"
38315,"['Southampton', 'Burnley']","['0', '0']","['0', '0']",Sun 12 Aug 2018,"['3-4-2-1', '4-4-1-1']","[['Alex McCarthy', 'Goalkeeper', '4573'], ['Jannik Vestergaard', 'Defender', '20109'], ['Wesley Hoedt', 'Defender', '6194'], ['Jack Stephens', 'Defender', '4612'], ['Ryan Bertrand', 'Midfielder', '2886'], ['Oriol Romeu', 'Midfielder', '4286'], ['Cédric Soares', 'Midfielder', '11347'], ['Mario Lemina', 'Midfielder', '5583'], ['Stuart Armstrong', 'Forward', '12186'], ['Charlie Austin', 'Forward', '9468'], ['Nathan Redmond', 'Forward', '3811'], ['Joe Hart', 'Goalkeeper', '3143'], ['Ben Mee', 'Defender', '3909'], ['Matthew Lowton', 'Defender', '4487'], ['James Tarkowski', 'Defender', '8143'], ['Stephen Ward', 'Defender', '3999'], ['Aaron Lennon', 'Midfielder', '2270'], ['Ashley Westwood', 'Midfielder', '4489'], ['Jóhann Gudmundsson', 'Midfielder', '6210'], ['Jack Cork', 'Midfielder', '2889'], ['Jeff Hendrick', 'Forward', '8586'], ['Chris Wood', 'Forward', '3756']]"
38316,"['Watford', 'Brighton']","['2', '0']","['1', '0']",Sat 11 Aug 2018,"['4-2-2-2', '4-4-1-1']","[['Ben Foster', 'Goalkeeper', '2932'], ['Christian Kabasele', 'Defender', '19605'], ['Daryl Janmaat', 'Defender', '10480'], ['Craig Cathcart', 'Defender', '3160'], ['José Holebas', 'Defender', '5713'], ['Will Hughes', 'Midfielder', '8589'], ['Abdoulaye Doucouré', 'Midfielder', '13823'], ['Étienne Capoue', 'Midfielder', '4843'], ['Roberto Pereyra', 'Midfielder', '11213'], ['Troy Deeney', 'Forward', '9947'], ['Andre Gray', 'Forward', '9060'], ['Mathew Ryan', 'Goalkeeper', '12192'], ['Bruno', 'Defender', '8162'], ['Shane Duffy', 'Defender', '3601'], ['Lewis Dunk', 'Defender', '8163'], ['Bernardo', 'Defender', '23591'], ['Anthony Knockaert', 'Midfielder', '8982'], ['Dale Stephens', 'Midfielder', '8168'], ['Solly March', 'Midfielder', '8171'], ['Davy Pröpper', 'Midfielder', '16790'], ['Glenn Murray', 'Forward', '4772'], ['Pascal Groß', 'Forward', '22542']]"
38317,"['Wolves', 'Everton']","['2', '2']","['1', '1']",Sat 11 Aug 2018,"['3-4-3', '4-2-3-1']","[['Rui Patrício', 'Goalkeeper', '11341'], ['Ryan Bennett', 'Defender', '4351'], ['Willy-Arnaud Boly', 'Defender', '16204'], ['Conor Coady', 'Defender', '4136'], ['Rúben Neves', 'Midfielder', '11180'], ['João Moutinho', 'Midfielder', '11259'], ['Matt Doherty', 'Midfielder', '4229'], ['Jonny Otto', 'Midfielder', '20277'], ['Diogo Jota', 'Forward', '19758'], ['Hélder Costa', 'Forward', '5064'], ['Raúl Jiménez', 'Forward', '11071'], ['Jordan Pickford', 'Goalkeeper', '4640'], ['Séamus Coleman', 'Defender', '3600'], ['Leighton Baines', 'Defender', '3030'], ['Michael Keane', 'Defender', '4333'], ['Phil Jagielka', 'Defender', '3222'], ['Theo Walcott', 'Midfielder', '2839'], ['Idrissa Gueye', 'Midfielder', '12582'], ['Richarlison', 'Midfielder', '24630'], ['Morgan Schneiderlin', 'Midfielder', '4615'], ['Gylfi Sigurdsson', 'Midfielder', '4421'], ['Cenk Tosun', 'Forward', '12114']]"
