Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,B365H_inv,B365D_inv,B365A_inv,BWH_inv,BWD_inv,BWA_inv,IWH_inv,IWD_inv,IWA_inv,PSH_inv,PSD_inv,PSA_inv,WHH_inv,WHD_inv,WHA_inv,VCH_inv,VCD_inv,VCA_inv,B365_margin,BW_margin,IW_margin,PS_margin,WH_margin,VC_margin,PS_probs,B365_odds,BW_odds,IW_odds,PS_odds,WH_odds,VC_odds
E0,2018-08-10,Man United,Leicester,2,1,H,1,0,H,A Marriner,8,13,6,4,11,8,2,5,2,1,0,0,1.57,3.9,7.5,1.53,4.0,7.5,1.55,3.8,7.0,1.58,3.93,7.5,1.57,3.8,6.0,1.57,4.0,7.0,39.0,1.6,1.56,4.2,3.92,8.05,7.06,38.0,2.12,2.03,1.85,1.79,17.0,-0.75,1.75,1.7,2.29,2.21,1.55,4.07,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6369426751592356,0.25641025641025644,0.13333333333333333,0.6535947712418301,0.25,0.13333333333333333,0.6451612903225806,0.2631578947368421,0.14285714285714285,0.6329113924050632,0.2544529262086514,0.13333333333333333,0.6369426751592356,0.2631578947368421,0.16666666666666666,0.6369426751592356,0.25,0.14285714285714285,1.0266862649028254,1.0369281045751635,1.0511763279165656,1.0206976519470479,1.0667672365627445,1.0297998180163785,"[0.6329, 0.2545, 0.1333]","[1.57, 3.9, 7.5]","[1.53, 4.0, 7.5]","[1.55, 3.8, 7.0]","[1.58, 3.93, 7.5]","[1.57, 3.8, 6.0]","[1.57, 4.0, 7.0]"
E0,2018-08-11,Bournemouth,Cardiff,2,0,H,1,0,H,K Friend,12,10,4,1,11,9,7,4,1,1,0,0,1.9,3.6,4.5,1.9,3.4,4.4,1.9,3.5,4.1,1.89,3.63,4.58,1.91,3.5,4.0,1.87,3.6,4.75,39.0,1.93,1.88,3.71,3.53,4.75,4.37,38.0,2.05,1.98,1.92,1.83,20.0,-0.75,2.2,2.13,1.8,1.75,1.88,3.61,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5263157894736842,0.2777777777777778,0.2222222222222222,0.5263157894736842,0.29411764705882354,0.22727272727272727,0.5263157894736842,0.2857142857142857,0.24390243902439027,0.5291005291005292,0.27548209366391185,0.2183406113537118,0.5235602094240838,0.2857142857142857,0.25,0.53475935828877,0.2777777777777778,0.21052631578947367,1.026315789473684,1.047706163805235,1.0559325142123601,1.022923234118153,1.0592744951383695,1.0230634518560215,"[0.5291, 0.2755, 0.2183]","[1.9, 3.6, 4.5]","[1.9, 3.4, 4.4]","[1.9, 3.5, 4.1]","[1.89, 3.63, 4.58]","[1.91, 3.5, 4.0]","[1.87, 3.6, 4.75]"
E0,2018-08-11,Fulham,Crystal Palace,0,2,A,0,1,A,M Dean,15,10,6,9,9,11,5,5,1,2,0,0,2.5,3.4,3.0,2.45,3.3,2.95,2.4,3.3,2.95,2.5,3.46,3.0,2.45,3.3,2.8,2.5,3.4,3.0,39.0,2.6,2.47,3.49,3.35,3.05,2.92,38.0,2.0,1.95,1.96,1.87,22.0,-0.25,2.18,2.11,1.81,1.77,2.62,3.38,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.29411764705882354,0.3333333333333333,0.4081632653061224,0.30303030303030304,0.3389830508474576,0.4166666666666667,0.30303030303030304,0.3389830508474576,0.4,0.28901734104046245,0.3333333333333333,0.4081632653061224,0.30303030303030304,0.35714285714285715,0.4,0.29411764705882354,0.3333333333333333,1.0274509803921568,1.050176619183883,1.0586800205444273,1.0223506743737958,1.0683364254792826,1.0274509803921568,"[0.4, 0.289, 0.3333]","[2.5, 3.4, 3.0]","[2.45, 3.3, 2.95]","[2.4, 3.3, 2.95]","[2.5, 3.46, 3.0]","[2.45, 3.3, 2.8]","[2.5, 3.4, 3.0]"
E0,2018-08-11,Huddersfield,Chelsea,0,3,A,0,2,A,C Kavanagh,6,13,1,4,9,8,2,5,2,1,0,0,6.5,4.0,1.61,6.25,3.9,1.57,6.2,4.0,1.55,6.41,4.02,1.62,5.8,3.9,1.57,6.5,4.0,1.62,38.0,6.85,6.09,4.07,3.9,1.66,1.61,37.0,2.05,1.98,1.9,1.84,23.0,1.0,1.84,1.8,2.13,2.06,7.24,3.95,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15384615384615385,0.25,0.6211180124223602,0.16,0.25641025641025644,0.6369426751592356,0.16129032258064516,0.25,0.6451612903225806,0.15600624024961,0.24875621890547267,0.6172839506172839,0.1724137931034483,0.25641025641025644,0.6369426751592356,0.15384615384615385,0.25,0.6172839506172839,1.024964166268514,1.053352931569492,1.0564516129032258,1.0220464097723667,1.0657667246729403,1.0211301044634378,"[0.156, 0.2488, 0.6173]","[6.5, 4.0, 1.61]","[6.25, 3.9, 1.57]","[6.2, 4.0, 1.55]","[6.41, 4.02, 1.62]","[5.8, 3.9, 1.57]","[6.5, 4.0, 1.62]"
E0,2018-08-11,Newcastle,Tottenham,1,2,A,1,2,A,M Atkinson,15,15,2,5,11,12,3,5,2,2,0,0,3.9,3.5,2.04,3.8,3.5,2.0,3.7,3.35,2.05,3.83,3.57,2.08,3.8,3.2,2.05,3.9,3.4,2.1,39.0,4.01,3.83,3.57,3.4,2.12,2.05,38.0,2.1,2.01,1.88,1.81,20.0,0.25,2.2,2.12,1.8,1.76,4.74,3.53,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25641025641025644,0.2857142857142857,0.49019607843137253,0.2631578947368421,0.2857142857142857,0.5,0.27027027027027023,0.29850746268656714,0.48780487804878053,0.2610966057441253,0.2801120448179272,0.4807692307692307,0.2631578947368421,0.3125,0.48780487804878053,0.25641025641025644,0.29411764705882354,0.47619047619047616,1.0323206205559148,1.0488721804511278,1.0565826110056178,1.0219778813312832,1.0634627727856225,1.026718379659556,"[0.2611, 0.2801, 0.4808]","[3.9, 3.5, 2.04]","[3.8, 3.5, 2.0]","[3.7, 3.35, 2.05]","[3.83, 3.57, 2.08]","[3.8, 3.2, 2.05]","[3.9, 3.4, 2.1]"
E0,2018-08-11,Watford,Brighton,2,0,H,1,0,H,J Moss,19,6,5,0,10,16,8,2,2,2,0,0,2.37,3.2,3.4,2.35,3.1,3.3,2.2,3.3,3.4,2.43,3.22,3.33,2.38,3.0,3.3,2.4,3.2,3.4,39.0,2.48,2.36,3.3,3.14,3.42,3.31,37.0,2.46,2.35,1.67,1.59,22.0,-0.25,2.07,2.01,1.9,1.86,2.58,3.08,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42194092827004215,0.3125,0.29411764705882354,0.425531914893617,0.3225806451612903,0.30303030303030304,0.45454545454545453,0.30303030303030304,0.29411764705882354,0.4115226337448559,0.3105590062111801,0.3003003003003003,0.42016806722689076,0.3333333333333333,0.30303030303030304,0.4166666666666667,0.3125,0.29411764705882354,1.0285585753288657,1.0511428630852104,1.0516934046345812,1.0223819402563363,1.056531703590527,1.0232843137254903,"[0.4115, 0.3106, 0.3003]","[2.37, 3.2, 3.4]","[2.35, 3.1, 3.3]","[2.2, 3.3, 3.4]","[2.43, 3.22, 3.33]","[2.38, 3.0, 3.3]","[2.4, 3.2, 3.4]"
E0,2018-08-11,Wolves,Everton,2,2,D,1,1,D,C Pawson,11,6,4,5,8,7,3,6,0,1,0,1,2.37,3.3,3.3,2.35,3.2,3.2,2.25,3.35,3.2,2.36,3.4,3.28,2.3,3.2,3.2,2.38,3.3,3.3,38.0,2.41,2.33,3.4,3.27,3.4,3.23,36.0,2.2,2.09,1.83,1.75,22.0,-0.25,2.04,1.98,1.92,1.88,2.44,3.23,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42194092827004215,0.30303030303030304,0.30303030303030304,0.425531914893617,0.3125,0.3125,0.4444444444444444,0.29850746268656714,0.3125,0.42372881355932207,0.29411764705882354,0.3048780487804878,0.4347826086956522,0.3125,0.3125,0.42016806722689076,0.30303030303030304,0.30303030303030304,1.0280015343306481,1.050531914893617,1.0554519071310116,1.0227245093986335,1.0597826086956523,1.0262286732874968,"[0.4237, 0.2941, 0.3049]","[2.37, 3.3, 3.3]","[2.35, 3.2, 3.2]","[2.25, 3.35, 3.2]","[2.36, 3.4, 3.28]","[2.3, 3.2, 3.2]","[2.38, 3.3, 3.3]"
E0,2018-08-12,Arsenal,Man City,0,2,A,0,1,A,M Oliver,9,17,3,8,11,14,2,9,2,2,0,0,4.0,3.8,1.95,3.7,3.75,1.95,3.6,3.6,2.0,4.0,3.97,1.93,3.8,3.8,1.91,3.9,4.0,1.91,39.0,4.15,3.83,4.0,3.8,2.0,1.92,36.0,1.6,1.55,2.55,2.42,20.0,0.75,1.78,1.74,2.21,2.15,4.43,4.13,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.2631578947368421,0.5128205128205129,0.27027027027027023,0.26666666666666666,0.5128205128205129,0.2777777777777778,0.2777777777777778,0.5,0.25,0.2518891687657431,0.5181347150259068,0.2631578947368421,0.2631578947368421,0.5235602094240838,0.25641025641025644,0.25,0.5235602094240838,1.0259784075573548,1.0497574497574498,1.0555555555555556,1.0200238837916498,1.049875998897768,1.02997046583434,"[0.25, 0.2519, 0.5181]","[4.0, 3.8, 1.95]","[3.7, 3.75, 1.95]","[3.6, 3.6, 2.0]","[4.0, 3.97, 1.93]","[3.8, 3.8, 1.91]","[3.9, 4.0, 1.91]"
E0,2018-08-12,Liverpool,West Ham,4,0,H,2,0,H,A Taylor,18,5,8,2,14,9,5,4,1,2,0,0,1.25,6.5,14.0,1.2,6.75,14.0,1.25,6.1,11.0,1.27,6.35,13.25,1.25,5.5,12.0,1.25,6.5,13.0,38.0,1.29,1.25,6.79,6.22,15.0,12.3,33.0,1.49,1.44,2.88,2.72,21.0,-1.75,1.95,1.9,2.06,1.97,1.25,6.95,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.15384615384615385,0.07142857142857142,0.8333333333333334,0.14814814814814814,0.07142857142857142,0.8,0.1639344262295082,0.09090909090909091,0.7874015748031495,0.15748031496062992,0.07547169811320754,0.8,0.18181818181818182,0.08333333333333333,0.8,0.15384615384615385,0.07692307692307693,1.0252747252747254,1.052910052910053,1.054843517138599,1.020353587876987,1.0651515151515152,1.0307692307692309,"[0.7874, 0.1575, 0.0755]","[1.25, 6.5, 14.0]","[1.2, 6.75, 14.0]","[1.25, 6.1, 11.0]","[1.27, 6.35, 13.25]","[1.25, 5.5, 12.0]","[1.25, 6.5, 13.0]"
E0,2018-08-12,Southampton,Burnley,0,0,D,0,0,D,G Scott,18,16,3,6,10,9,8,5,0,1,0,0,1.85,3.5,5.0,1.8,3.5,4.75,1.8,3.6,4.5,1.86,3.51,4.99,1.83,3.25,4.8,1.85,3.4,5.2,39.0,1.9,1.84,3.61,3.43,5.2,4.8,37.0,2.45,2.34,1.67,1.6,20.0,-0.75,2.19,2.11,1.82,1.76,2.03,3.19,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5405405405405405,0.2857142857142857,0.2,0.5555555555555556,0.2857142857142857,0.21052631578947367,0.5555555555555556,0.2777777777777778,0.2222222222222222,0.5376344086021505,0.2849002849002849,0.2004008016032064,0.5464480874316939,0.3076923076923077,0.20833333333333334,0.5405405405405405,0.29411764705882354,0.1923076923076923,1.0262548262548261,1.0517961570593148,1.0555555555555556,1.0229354951056417,1.062473728457335,1.0269658799070562,"[0.5376, 0.2849, 0.2004]","[1.85, 3.5, 5.0]","[1.8, 3.5, 4.75]","[1.8, 3.6, 4.5]","[1.86, 3.51, 4.99]","[1.83, 3.25, 4.8]","[1.85, 3.4, 5.2]"
